word	nodeType	synsetCount	unit	count
tin	NOUN	7	shining-dialogue	2
tip	NOUN	14	shining-dialogue	2
title	NOUN	12	shining-dialogue	2
toast	NOUN	6	shining-dialogue	2
today	NOUN	4	shining-dialogue	16
toe	NOUN	9	shining-dialogue	2
toilet	NOUN	4	shining-dialogue	2
tomorrow	NOUN	3	shining-dialogue	6
tongue	NOUN	10	shining-dialogue	4
tonight	NOUN	2	shining-dialogue	10
tooth	NOUN	5	shining-dialogue	8
top	NOUN	22	shining-dialogue	10
town	NOUN	4	shining-dialogue	2
toy	NOUN	8	shining-dialogue	4
trace	NOUN	14	shining-dialogue	6
track	NOUN	16	shining-dialogue	328
tracking	NOUN	6	shining-dialogue	2
tragedy	NOUN	2	shining-dialogue	2
trail	NOUN	8	shining-dialogue	2
trance	NOUN	3	shining-dialogue	2
transfer	NOUN	15	shining-dialogue	2
traveler	NOUN	1	shining-dialogue	2
tray	NOUN	1	shining-dialogue	14
tree	NOUN	7	shining-dialogue	4
trestle	NOUN	2	shining-dialogue	2
tricycle	NOUN	1	shining-dialogue	12
trip	NOUN	12	shining-dialogue	4
trolley	NOUN	1	shining-dialogue	4
trouble	NOUN	11	shining-dialogue	4
trouser	NOUN	2	shining-dialogue	4
truck	NOUN	3	shining-dialogue	6
trust	NOUN	12	shining-dialogue	2
truth	NOUN	5	shining-dialogue	2
tub	NOUN	3	shining-dialogue	2
tug	NOUN	9	shining-dialogue	2
tunnel	NOUN	4	shining-dialogue	2
turkey	NOUN	5	shining-dialogue	2
turn	NOUN	38	shining-dialogue	2
twelve-	NOUN	0	shining-dialogue	2
twenty	NOUN	3	shining-dialogue	2
typewriter	NOUN	1	shining-dialogue	16
typing	NOUN	3	shining-dialogue	10
unbolt	NOUN	1	shining-dialogue	2
unintentional	NOUN	2	shining-dialogue	2
universe	NOUN	3	shining-dialogue	2
vegetable	NOUN	2	shining-dialogue	2
version	NOUN	6	shining-dialogue	2
view	NOUN	13	shining-dialogue	2
voice	NOUN	13	shining-dialogue	45
wagon	NOUN	5	shining-dialogue	4
walk	NOUN	17	shining-dialogue	6
walking	NOUN	12	shining-dialogue	2
